hotel,price,score,avg review,reviews count
Maison le Bac Paris Aparthotel,"US$3,735",8.2,Very Good,612
Austin's Saint Lazare Hotel,"US$5,908",8.1,Very Good,"2,546"
Edgar Suites Montmartre - Paul Albert,"US$4,822",9.3,Wonderful,114
Austin's Arts Et Metiers Hotel,"US$6,626",8.2,Very Good,"2,032"
Enjoy Hostel,US$917,6.9,Review score,"5,685"
"PARIS AUTHENTIC HOUSE, Entier 1920's villa métro Line 7","US$9,295",9.4,Wonderful,10
Villa Royale Montsouris,"US$4,327",7.6,Good,283
City Inn Paris,US$835,6.7,Review score,"2,498"
Hotel 29 Lepic,"US$4,759",8.1,Very Good,"1,995"
GuestReady - Charm and Confort in the 18th,"US$2,443",,,
Appart'City Collection Paris Grande Bibliothèque,"US$4,294",7.3,Good,"1,368"
Résidence des Poissonniers,"US$3,388",7.3,Good,33
Hôtel Soft,"US$4,481",7.7,Good,"1,691"
Fauchon l'Hôtel Paris,"US$19,379",9.3,Wonderful,882
La Maison Gobert Paris Hotel Particulier,"US$6,809",9.2,Wonderful,492
Hôtel Crimée,"US$2,998",5.9,Review score,581
PARIS AUTHENTIC HOUSE 9 minutes by METRO RER B Gentilly to Notre-Dame de Paris,"US$4,084",7.0,Good,22
Hollyday Studio Paris Centre Montmarte Sacré-coeur Opera Louvre,"US$4,338",8.3,Very Good,27
Hotel Darcet,"US$3,908",8.8,Excellent,"2,052"
CMG - Grands boulevards / Rex,"US$6,333",6.8,Review score,39
Appartement Place du Trocadéro,"US$8,576",9.0,Wonderful,68
LUXURY FLAT WITH ROOFTOP TERRACE - Paris 18,"US$10,065",8.2,Very Good,27
Best Stay Jeuneurs,"US$17,598",8.3,Very Good,538
"Rent a Room - Residence Caire, Montorgueil","US$7,368",7.6,Good,88
Apartments FOCH CHAMPS ELYSEES PARIS,"US$40,355",7.8,Good,4
